iter	RMSE
0	6067.360259
1	5863.118828
2	5676.117464
3	5496.77478
4	5331.32674
5	5174.374182
6	5022.119777
7	4886.421461
8	4758.665804
9	4629.958501
10	4517.791747
11	4410.853927
12	4305.574649
13	4206.438771
14	4109.860443
15	4019.199621
16	3935.868937
17	3857.544477
18	3788.650288
19	3724.014688
20	3659.503142
21	3598.719899
22	3541.449366
23	3485.173303
24	3438.737231
25	3391.665714
26	3347.950543
27	3304.74885
28	3268.495727
29	3230.069962
30	3194.762012
31	3161.333213
32	3129.496508
33	3102.294228
34	3074.716086
35	3048.948771
36	3024.691079
37	3003.520052
38	2981.862042
39	2959.137087
40	2938.64286
41	2919.867155
42	2901.399602
43	2884.455775
44	2869.392287
45	2855.129282
46	2842.21765
47	2828.761388
48	2817.003656
49	2806.158566
50	2794.543659
51	2781.154462
52	2767.574754
53	2757.738436
54	2747.78271
55	2735.930559
56	2727.759521
57	2717.10268
58	2707.257772
59	2697.709625
60	2691.455765
61	2684.180189
62	2677.145505
63	2668.821134
64	2658.893367
65	2653.100371
66	2646.74581
67	2638.132366
68	2632.471658
69	2627.676328
70	2620.504594
71	2614.963938
72	2609.701201
73	2604.050497
74	2598.866052
75	2592.566724
76	2586.67231
77	2582.693481
78	2577.652057
79	2572.760537
80	2568.090456
81	2562.740242
82	2557.742898
83	2552.747166
84	2548.619197
85	2545.119232
86	2540.688456
87	2537.393783
88	2532.0925
89	2528.673145
90	2524.966287
91	2520.227749
92	2516.61631
93	2513.359097
94	2510.168195
95	2507.492497
96	2504.608506
97	2500.765209
98	2497.420936
99	2494.182091
100	2490.984552
101	2487.068281
102	2483.507493
103	2480.356382
104	2477.445448
105	2474.602016
106	2472.577341
107	2469.613674
108	2467.116119
109	2463.913006
110	2461.271549
111	2458.15936
112	2455.985432
113	2453.351353
114	2451.210281
115	2448.530175
116	2446.59988
117	2444.703058
118	2441.797114
119	2440.056288
120	2436.79199
121	2435.324088
122	2433.379028
123	2431.358397
124	2428.586373
125	2426.020367
126	2424.53871
127	2421.897607
128	2418.651594
129	2416.304627
130	2413.031698
131	2411.42642
132	2408.25472
133	2406.905426
134	2404.803666
135	2402.905739
136	2401.570591
137	2400.232821
138	2398.636229
139	2395.745595
140	2394.064884
141	2392.583869
142	2390.026221
143	2387.899569
144	2385.127659
145	2382.751449
146	2381.368303
147	2379.38816
148	2377.700358
149	2375.748102
150	2373.901402
151	2372.360091
152	2370.915397
153	2369.221967
154	2368.245541
155	2367.029724
156	2365.675682
157	2363.955345
158	2362.426953
159	2360.769248
160	2358.308976
161	2356.936529
162	2355.463605
163	2354.672044
164	2352.075029
165	2350.647712
166	2349.467429
167	2347.137927
168	2345.864785
169	2344.274281
170	2343.228814
171	2341.557598
172	2340.378923
173	2339.067195
174	2337.831038
175	2336.595208
176	2335.149708
177	2333.950637
178	2331.864418
179	2330.999091
180	2329.8146
181	2328.521659
182	2327.196908
183	2326.319984
184	2325.078028
185	2324.053809
186	2322.634179
187	2321.148619
188	2320.255243
189	2319.147931
190	2318.07069
191	2316.385453
192	2315.639622
193	2314.847185
194	2313.981364
195	2312.702813
196	2311.854066
197	2310.896475
198	2309.92919
199	2309.292681
200	2308.465333
201	2307.430667
202	2305.513053
203	2304.182212
204	2303.737195
205	2302.564344
206	2301.645885
207	2300.830021
208	2299.869061
209	2298.978971
210	2298.19404
211	2297.414377
212	2296.965805
213	2295.569435
214	2294.597376
215	2294.020572
216	2292.971583
217	2291.810982
218	2291.053166
219	2290.127204
220	2289.210013
221	2288.459427
222	2287.900278
223	2287.153036
224	2285.311065
225	2284.620777
226	2283.909715
227	2282.616616
228	2281.975352
229	2281.340653
230	2280.633281
231	2280.180322
232	2279.49556
233	2278.647622
234	2277.645169
235	2277.166591
236	2276.377754
237	2275.590155
238	2275.179304
239	2274.540395
240	2273.915644
241	2273.040476
242	2271.971609
243	2271.254859
244	2270.531489
245	2269.350593
246	2268.702032
247	2267.813212
248	2266.805763
249	2266.289299
250	2265.636412
251	2265.061835
252	2264.405127
253	2263.762468
254	2263.244548
255	2262.754003
256	2262.213463
257	2261.504052
258	2261.034154
259	2260.379196
260	2259.748506
261	2259.20655
262	2258.209756
263	2257.702305
264	2257.09195
265	2256.61789
266	2256.08719
267	2255.692426
268	2255.136795
269	2254.362928
270	2253.30524
271	2252.808529
272	2252.389707
273	2251.721948
274	2251.313537
275	2250.929143
276	2250.457541
277	2250.006264
278	2249.561234
279	2248.83879
280	2248.277497
281	2247.840176
282	2247.318156
283	2246.84238
284	2246.452019
285	2245.959943
286	2245.498094
287	2245.152113
288	2244.665457
289	2244.306661
290	2243.87833
291	2243.387454
292	2243.115912
293	2242.193798
294	2241.579398
295	2241.087528
296	2240.478956
297	2239.931827
298	2239.299307
299	2238.862904
300	2238.414536
301	2238.001796
302	2237.661511
303	2237.166138
304	2236.721852
305	2236.347027
306	2235.812624
307	2235.336482
308	2234.84156
309	2234.413183
310	2233.927885
311	2233.534439
312	2233.066809
313	2232.707098
314	2232.121532
315	2231.619187
316	2231.208594
317	2230.750477
318	2230.383842
319	2229.983245
320	2229.598594
321	2229.131201
322	2228.684532
323	2227.587749
324	2227.054107
325	2226.715359
326	2226.079877
327	2225.729187
328	2225.129991
329	2224.729192
330	2224.313233
331	2223.903551
332	2223.464959
333	2223.157106
334	2222.690115
335	2222.42603
336	2222.084196
337	2221.742483
338	2221.545041
339	2221.229974
340	2220.739244
341	2220.26433
342	2219.885793
343	2219.517207
344	2218.989412
345	2218.543609
346	2218.09285
347	2217.072921
348	2216.522785
349	2216.158422
350	2215.971694
351	2215.79709
352	2215.43518
353	2214.60762
354	2214.159007
355	2213.867492
356	2213.537153
357	2213.280017
358	2212.707076
359	2212.423486
360	2211.97079
361	2211.622628
362	2210.877086
363	2210.547458
364	2209.901224
365	2209.566064
366	2209.321776
367	2208.634238
368	2208.104792
369	2207.870255
370	2207.615806
371	2207.318872
372	2206.728742
373	2206.390209
374	2205.588161
375	2205.111499
376	2204.787963
377	2204.208503
378	2203.845799
379	2203.408932
380	2202.828596
381	2202.58867
382	2201.862557
383	2201.694239
384	2201.531606
385	2201.120342
386	2200.888094
387	2200.622282
388	2200.210997
389	2199.929939
390	2199.504845
391	2198.778218
392	2197.722499
393	2197.196725
394	2196.672596
395	2196.408294
396	2195.669055
397	2194.940599
398	2194.616982
399	2194.291406
400	2193.967874
401	2193.684101
402	2193.334211
403	2193.047273
404	2192.670261
405	2192.003825
406	2191.606718
407	2190.982623
408	2190.756925
409	2190.405837
410	2189.947065
411	2189.554546
412	2189.209657
413	2188.963679
414	2188.662539
415	2188.38465
416	2188.109226
417	2187.831891
418	2187.560201
419	2187.38516
420	2187.110208
421	2186.852695
422	2186.603676
423	2186.386071
424	2186.009
425	2185.602007
426	2184.97006
427	2184.46695
428	2184.148805
429	2183.896393
430	2183.277834
431	2182.98976
432	2182.582667
433	2182.284052
434	2181.972441
435	2181.44008
436	2181.190299
437	2180.766078
438	2180.496846
439	2180.15492
440	2179.531848
441	2179.297266
442	2178.997386
443	2178.734919
444	2178.51501
445	2178.047637
446	2177.572205
447	2177.148017
448	2176.854048
449	2176.630613
450	2176.02389
451	2175.828793
452	2175.555108
453	2175.356208
454	2175.167385
455	2174.958297
456	2174.475411
457	2174.14782
458	2173.878747
459	2173.454235
460	2173.195114
461	2172.978512
462	2172.726325
463	2172.162855
464	2171.786187
465	2171.59617
466	2171.344166
467	2171.101324
468	2170.855307
469	2170.601416
470	2170.318282
471	2170.080704
472	2169.838255
473	2169.636995
474	2169.38318
475	2169.203856
476	2169.023945
477	2168.57689
478	2168.197737
479	2168.019882
480	2167.814525
481	2167.143355
482	2166.973853
483	2166.757356
484	2166.292287
485	2165.915131
486	2165.657042
487	2165.517661
488	2165.368928
489	2164.78984
490	2164.576677
491	2164.413178
492	2164.081024
493	2163.764011
494	2163.519715
495	2163.317096
496	2163.068638
497	2162.807751
498	2162.549941
499	2162.097602
