iter	Passed	Remaining
0	40	20301
1	65	16289
2	99	16410
3	130	16160
4	164	16288
5	191	15771
6	221	15570
7	243	14982
8	269	14721
9	296	14512
10	319	14202
11	345	14049
12	369	13825
13	392	13627
14	416	13459
15	439	13296
16	463	13160
17	488	13091
18	511	12945
19	537	12901
20	563	12844
21	584	12706
22	608	12610
23	633	12572
24	655	12463
25	678	12375
26	702	12305
27	725	12224
28	748	12160
29	773	12120
30	798	12079
31	821	12018
32	845	11961
33	866	11880
34	895	11891
35	916	11808
36	938	11744
37	961	11694
38	984	11639
39	1007	11588
40	1034	11578
41	1056	11521
42	1078	11464
43	1102	11423
44	1124	11372
45	1148	11331
46	1170	11277
47	1193	11236
48	1217	11203
49	1239	11157
50	1263	11121
51	1286	11084
52	1310	11048
53	1332	11004
54	1356	10978
55	1379	10936
56	1406	10927
57	1434	10933
58	1462	10933
59	1491	10935
60	1513	10892
61	1535	10850
62	1559	10817
63	1584	10797
64	1606	10750
65	1628	10708
66	1650	10663
67	1673	10632
68	1697	10605
69	1718	10553
70	1742	10530
71	1764	10490
72	1787	10456
73	1811	10430
74	1836	10406
75	1859	10372
76	1882	10340
77	1901	10287
78	1926	10268
79	1947	10224
80	1972	10202
81	2000	10195
82	2032	10212
83	2058	10192
84	2080	10156
85	2104	10131
86	2126	10094
87	2148	10059
88	2172	10034
89	2194	9997
90	2216	9960
91	2239	9930
92	2265	9915
93	2289	9887
94	2314	9866
95	2334	9822
96	2356	9788
97	2377	9753
98	2401	9729
99	2425	9702
100	2449	9675
101	2471	9643
102	2496	9621
103	2521	9602
104	2545	9575
105	2570	9555
106	2588	9507
107	2611	9477
108	2633	9447
109	2660	9431
110	2680	9393
111	2703	9365
112	2729	9346
113	2755	9330
114	2777	9298
115	2800	9271
116	2821	9235
117	2842	9203
118	2866	9178
119	2890	9152
120	2914	9130
121	2935	9095
122	2962	9079
123	2987	9058
124	3009	9029
125	3035	9010
126	3055	8974
127	3078	8947
128	3100	8917
129	3125	8894
130	3148	8867
131	3168	8834
132	3192	8808
133	3210	8770
134	3236	8749
135	3260	8727
136	3285	8705
